ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9153e9f4-f69c-4e04-8f64-505592e212cd,1,,,3754058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 3270, 'name': 'Danny Simpson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 3813, 'name': 'Wes Morgan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 40123, 'name': 'Robert Huth'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 3812, 'name': 'Christian Fuchs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 3961, 'name': ""N''Golo Kanté""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3814, 'name': 'Riyad Mahrez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 3662, 'name': 'Danny Drinkwater'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3307, 'name': 'Marc Albrighton'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3671, 'name': 'José Leonardo Ulloa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 10960, 'name': 'Jamie Vardy'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Leicester City,22,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3fbcf4e7-94d1-485a-be85-fd26a6af0318,2,,,3754058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 20074, 'name': 'Artur Boruc'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6409, 'name': 'Adam Smith'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 3608, 'name': 'Simon Francis'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 3341, 'name': 'Steve Cook'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 3345, 'name': 'Charlie Daniels'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 3344, 'name': 'Andrew Surman'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 3049, 'name': 'Matt Ritchie'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 30}, {'player': {'id': 3343, 'name': 'Dan Gosling'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 3304, 'name': 'Harry Arter'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3463, 'name': 'Junior Stanislas'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 3346, 'name': 'Joshua King'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",AFC Bournemouth,28,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,06a9a4dc-d9c9-40f6-bd89-437ba7fe682d,3,,,3754058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['100362ee-9311-4187-bd8a-0201d9db2565'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,100362ee-9311-4187-bd8a-0201d9db2565,4,,,3754058,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Leicester City,22,['06a9a4dc-d9c9-40f6-bd89-437ba7fe682d'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3a645ce0-af88-4dfc-8f97-82d3770bc4ae,1927,,,3754058,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,AFC Bournemouth,28,['a8059850-8edc-4273-a102-1f6ad3ae782d'],0,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,a8059850-8edc-4273-a102-1f6ad3ae782d,1928,,,3754058,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,AFC Bournemouth,28,['3a645ce0-af88-4dfc-8f97-82d3770bc4ae'],0,,,,,,,,,,,,,,,,,Leicester City,22,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.308263,,,,,,,,,,,,,,,,2ca23eea-a984-47e4-8243-8f00880ad1c9,5,,"[61.0, 40.1]",3754058,0,,,,,1.7405746,,Right Foot,,,,"[60.4, 43.6]",Ground Pass,,3.5510561,,,Joshua King,3346.0,,,,,Kick Off,1,From Kick Off,Dan Gosling,3343.0,Right Center Midfield,2,AFC Bournemouth,28,['1f98c89e-2326-4200-8c12-a987fdbbaf2e'],1,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:01.753,Pass,
,,,,,,,,,,,,,,0.933203,,,,,,,,,,,,,,,,0fee7719-7e69-49c5-be81-3f2b77da604e,8,,"[60.4, 43.6]",3754058,0,,,,,-2.9895494,,Right Foot,,,,"[48.0, 41.7]",Ground Pass,,12.54472,,,Andrew Surman,3344.0,,,,,,1,From Kick Off,Joshua King,3346.0,Center Forward,2,AFC Bournemouth,28,['8764f645-0544-426e-9bef-764dcf13f019'],2,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:02.077,Pass,
,,,,,,,,,,,,,,2.454046,,,,,,,,,,,,,,,,6362aa69-892f-4d11-8644-21a680ea7c66,10,,"[48.0, 41.7]",3754058,0,,,,,1.8670467,,Left Foot,,,,"[37.5, 76.1]",Ground Pass,,35.96679,,,Adam Smith,6409.0,,,,,,1,From Kick Off,Andrew Surman,3344.0,Center Defensive Midfield,2,AFC Bournemouth,28,['4e43a985-9566-4762-868f-c992de243bd6'],3,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:03.010,Pass,
,,,,,,,,,,,,,,1.795575,,,,,,,,,,,,,,,,56da36e4-8b0d-4596-ba46-1d944c3d3f04,13,,"[37.5, 74.6]",3754058,0,,,,,-2.120081,,Right Foot,,,,"[27.4, 58.1]",Ground Pass,,19.3458,,,Simon Francis,3608.0,,,,,,1,From Kick Off,Adam Smith,6409.0,Right Back,2,AFC Bournemouth,28,['a4eb31c9-6417-4a65-9f71-b3aeece1758e'],6,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:06.145,Pass,
,,,,,,,,,,,,,,1.11189,,,,,,,,,,,,,,,,bcfea2e3-9736-4975-be28-ef2c9d693fa7,16,,"[27.4, 63.9]",3754058,0,,,,,1.0649203,,Right Foot,,,,"[35.1, 77.8]",Ground Pass,,15.890248,,,Adam Smith,6409.0,,,,,,1,From Kick Off,Simon Francis,3608.0,Right Center Back,2,AFC Bournemouth,28,['4b427f4b-296d-4967-a419-b6b480fe50e2'],9,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:09.350,Pass,
,,,,,,,,,,,,,,1.199999,,,,,,,,,,,,,,,,080be99c-fea7-495b-8230-cbd0b34294ac,20,,"[30.4, 78.0]",3754058,0,,,,,-2.961097,,Left Foot,,,,"[16.7, 75.5]",Ground Pass,,13.926234,,,Simon Francis,3608.0,,,,,,1,From Kick Off,Adam Smith,6409.0,Right Back,2,AFC Bournemouth,28,['9936fb68-646b-4195-91ab-af802c81dd33'],12,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:12.746,Pass,
,,,,,,,,,,,,,,2.225797,,,,,,,,,,,,,,,,697047ec-7e13-4f0c-bafc-0e22b565df58,23,,"[19.1, 69.7]",3754058,0,,,,,-1.5460489,,Right Foot,,,,"[20.1, 29.3]",Ground Pass,,40.412373,,,Steve Cook,3341.0,,True,,,,1,From Kick Off,Simon Francis,3608.0,Right Center Back,2,AFC Bournemouth,28,['293472ba-387b-4e1e-a856-591408af7bae'],15,,,,,,,,,,,,,,,,,AFC Bournemouth,28,00:00:15.022,Pass,
